conditionid,closingcondition,conditionfamily,conditionname,conditionpayload,configurable,consolidation,consolidationsleeptime,description,downstream,fetchdata,issnooze,priority,remediation,snooze,sourcesystem,underresearch,updatedtime
50254,,,,,,False,,,itsm,,False,,,,2.0,,
50149,,,,,,False,,,itsm,,False,,,,2.0,,
1000962,False,7,MegaRAID Storage Manager - Power supply cable removed on enclosure.,,,False,,,itsm,,False,,,,1.0,,
1002259,True,1,Active Directory DFSR - DFS staging space usage is above the staging quota (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1000301,True,7,"VIA Technologies, Inc. - VIA IDE\\SATA RAID Controllers Device ready for access (Closing condition).",,,False,,,itsm,,False,,,,1.0,,
11454,False,73,VMware Host Hardware Issue observed for Memory Sensor,,,False,,,itsm,,False,,,,1.0,,
10415,False,7,Adaptec Storage Manager Notifier - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
10179,False,2,AVG E-mail Scanner - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001475,False,7,Mega RAID - Logical drive degraded,,,False,,,itsm,,False,,,,1.0,,
1001333,False,7,Sony ATI Tape Drive has bad blocks,,,False,,,itsm,,False,,,,1.0,,
1001943,False,11,SharePoint Services - SQL Server Database Error,,,False,,,itsm,,False,,,,1.0,,
10216,False,4,Citrix SMA Service - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
50136,,,,,,False,,,itsm,,False,,,,2.0,,
16820,False,89,Lync Server Audio Test Service- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
50197,,,,,,False,,,itsm,,False,,,,2.0,,
10332,False,2,Symantec Management Client - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
50037,,,,,,False,,,itsm,,False,,,,2.0,,
11404,False,5,Microsoft Exchange Replication- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
10271,False,5,Microsoft Exchange System Attendant - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1003077,False,26,DHCP Service - Server is not bound to static IP address.,,,False,,,itsm,,False,,,,1.0,,
50394,,,,,,False,,,itsm,,False,,,,2.0,,
1000034,False,5,Exchange Database Corruption files - Mail Flow down,,,False,,,itsm,,False,,,,1.0,,
1003309,False,89,MS Lync - The Exchange UM Routing app was disabled.,,,False,,,itsm,,False,,,,1.0,,
10479,False,13,FTP Publishing Service - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1000411,False,7,HighPoint RocketRAID 182x SATA Controller Device did not respond within the timeout Period.,,,False,,,itsm,,False,,,,1.0,,
1000197,False,7,Adaptec HostRAID for Serial ATA Scsi Device did not respond within the timeout period.,,,False,,,itsm,,False,,,,1.0,,
1002075,False,16,Microsoft Hyper V - Virtual Machine fail to start after Live Migration.,,,False,,,itsm,,False,,,,1.0,,
50110,,,,,,False,,,itsm,,False,,,,2.0,,
1000276,False,7,AMI MegaRaid RAID Controller Driver failed to allocate memory.,,,False,,,itsm,,False,,,,1.0,,
1002073,True,13,IIS Database Corrupt (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1001120,False,13,The identity of the Application Pool is invalid,,,False,,,itsm,,False,,,,1.0,,
16821,False,89,Lync Server Audio Test Service- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001243,True,1,Local Security Authority Subsystem Service Process utilizing high CPU on domain controller. (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1000058,False,5,Messaging Database shuts down as soon as the mailbox store database has reached the maximum size limit.,,,False,,,itsm,,False,,,,1.0,,
50048,,,,,,False,,,itsm,,False,,,,2.0,,
50352,,,,,,False,,,itsm,,False,,,,2.0,,
1002932,False,5,MS Exchange - Outstanding RPC requests reached maximum threshold.,,,False,,,itsm,,False,,,,1.0,,
11792,False,92,Configuration Backup,,,False,,,itsm,,False,,,,1.0,,
1000126,False,5,Exchange store database failed verification because it contains no page data - Database Recovery/Restore Failed.,,,False,,,itsm,,False,,,,1.0,,
10284,False,5,MS Exchange ServiceHost - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001775,False,11,SharePoint 2010 - Excel Calculation Services Machine No Longer Available,,,False,,,itsm,,False,,,,1.0,,
1001881,False,11,SharePoint Services - Business Data Catalog Web Service Adapter transport error,,,False,,,itsm,,False,,,,1.0,,
1000273,False,7,LSI Logic Fusion-MPT Miniport Driver Device not ready for access.,,,False,,,itsm,,False,,,,1.0,,
1000950,False,7,MegaRAID Storage Manager - The hot-plug is not supported.,,,False,,,itsm,,False,,,,1.0,,
11520,False,73,VMware VirtualCenter Management Webservices- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
11373,False,11,Windows SharePoint Services Search- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001108,False,4,Citrix - Paged Pool / Non Paged Pool threshold crossed on Citrix running on Windows 2000 Server.,,,False,,,itsm,,False,,,,1.0,,
1079,False,1,Global Catalog is not reachable,,,False,,,itsm,,False,,,,1.0,,
10459,False,4,Citrix WMI Service - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1002925,False,5,MS Exchange - Problem loading a certificate to be used for STARTTLS Purpose.,,,False,,,itsm,,False,,,,1.0,,
1000191,False,7,Intel Server Manager - FAN RPM ISSUE,,,False,,,itsm,,False,,,,1.0,,
1001872,False,11,SharePoint Services - Administration site for the Shared Service Provider is missing,,,False,,,itsm,,False,,,,1.0,,
1001416,False,7,Promise Napa I2API - Rebuild failure observed,,,False,,,itsm,,False,,,,1.0,,
16911,False,4,Citrix CPU Utilization Mgmt/Resource Mgmt- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1000890,False,7,Storage Agents - Fibre Channel Controller Status Changed to Shutdown,,,False,,,itsm,,False,,,,1.0,,
11758,False,9,Windows Time- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10550,False,2,ScanMail_Monitor - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1001499,True,5,Exchange - Recipient Update Service issues detected Exchange Server cannot access Address List configuration information (Closing condition),,,False,,,itsm,,False,,,,1.0,,
11556,False,35,Gateway Agent is not communicating with Data Center,,,False,,,itsm,,False,,,,1.0,,
10455,False,7,CIO Event Notifier - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1001013,False,5,Windows Management Instrumentation(wmiprvse.exe) Process for Exchange is crashing,,,False,,,itsm,,False,,,,1.0,,
11363,False,11,Windows SharePoint Services VSS Writer- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1030,False,1,Missing SPN record of DC,,,False,,,itsm,,False,,,,1.0,,
1001501,True,5,Exchange 2007 / 2010 - No DNS servers could be retrieved from network adapter (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1000309,False,7,VMware - SCSI Controller Device Not Ready,,,False,,,itsm,,False,,,,1.0,,
1001272,True,21,Performance Data - Processor Kernal mode utilization is high (Closing condition),,,False,,,itsm,,False,,,,1.0,,
11441,False,69,Vault Device nfs service not running,,,False,,,itsm,,False,,,,1.0,,
10526,False,5,MS Exchange Transport - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1002353,False,7,Fujitsu - A memory module is predicted to fail (prefailure).,,,False,,,itsm,,False,,,,1.0,,
1000864,False,7,Storage Agents - External Array Physical Drive Status Changed to Failed.,,,False,,,itsm,,False,,,,1.0,,
1001269,False,7,Adaptec Storage Manager Agent Logical device is degraded,,,False,,,itsm,,False,,,,1.0,,
1002966,False,5,MS Exchange - Eseutil Database recovery/restore failed with unexpected error.,,,False,,,itsm,,False,,,,1.0,,
1002963,False,5,MS Exchange - Unable to create a new logfile because the database cannot write to the log drive.,,,False,,,itsm,,False,,,,1.0,,
1003082,False,26,DHCP Service - Database Restore Failure.,,,False,,,itsm,,False,,,,1.0,,
10615,False,2,AVG9 Email Scanner-Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001767,False,11,SharePoint 2010 - Excel Calculation Services Localized Template File Not Found,,,False,,,itsm,,False,,,,1.0,,
1000870,False,7,Storage Agents - SCSI Tape Library Status Changed to Degraded,,,False,,,itsm,,False,,,,1.0,,
1000147,True,5,Emails Stuck in Local Queue (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1121,False,1,The query for messages for service NTDS Replication via transport SMTP failed,,,False,,,itsm,,False,,,,1.0,,
10471,False,2,eTrust Antivirus Job Server - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
16833,False,89,Lync Server Bandwidth Policy Service (Core)- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
16865,False,89,Lync Server Audio/Video Edge- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1004274,False,7,Dell Server Monitoring - Storage Management is unable to monitor or manage SAS devices.,,,False,,,itsm,,False,,,,1.0,,
1000040,False,5,Exchange Database files are missing and could not be recovered.,,,False,,,itsm,,False,,,,1.0,,
1004330,False,5,MS Exchange - SSL (Self signed) Certificate will expire with in 15 days,,,False,,,itsm,,False,,,,1.0,,
50233,,,,,,False,,,itsm,,False,,,,2.0,,
10498,False,2,McAfee Log Service - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
11626,False,20,Multiple VSS writers are in failed state,,,False,,,itsm,,False,,,,1.0,,
1001551,False,11,Sharepoint SQL Server Database Error,,,False,,,itsm,,False,,,,1.0,,
50291,,,,,,False,,,itsm,,False,,,,2.0,,
1001004,False,5,Exchange 2007/2010 - Problem loading a certificate to be used for STARTTLS Purpose.,,,False,,,itsm,,False,,,,1.0,,
50141,,,,,,False,,,itsm,,False,,,,2.0,,
16982,False,1,Azure AD Connect Health SYNc monitoring service- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10214,False,7,CIO Event Notifier - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10273,False,5,MS Exchange ADTopology - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
50243,,,,,,False,,,itsm,,False,,,,2.0,,
50347,,,,,,False,,,itsm,,False,,,,2.0,,
1003779,False,91,Security Notification - A user account is added to Security group,,,False,,,itsm,,False,,,,1.0,,
10330,False,2,Symantec Mail Security for Microsoft Exchange - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001228,False,5,Exchange - Third party AntiVirus API transport scanning on the Exchange Server interrupting mail flow,,,False,,,itsm,,False,,,,1.0,,
50129,,,,,,False,,,itsm,,False,,,,2.0,,
1000348,False,7,IBM ServeRAID Controller Scsi Device did not respond within the timedout Period.,,,False,,,itsm,,False,,,,1.0,,
10622,False,2,VIPRE Email Security Monitoring Service- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
16763,False,12,SQL Server VSS Writer- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1001520,False,11,Windows SharePoint Services :- An error occurred while communicating with the SMTP server,,,False,,,itsm,,False,,,,1.0,,
11483,False,73,VMware host under maintenance,,,False,,,itsm,,False,,,,1.0,,
11718,False,9,System Events Broker- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
16727,False,2,COMODO ESM Proxy Server- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1000989,False,7,MegaRAID Storage Manager - Single bit Error Correction Code (ECC) error.,,,False,,,itsm,,False,,,,1.0,,
10240,False,7,HighPoint RAID Management Service - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
11770,False,4,Citrix 64-bit Virtual Memory Optimization- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1000381,False,7,Server Agents Power Subsystem Configuration Error.,,,False,,,itsm,,False,,,,1.0,,
11627,False,29,Zenith BDR backup failed,,,False,,,itsm,,False,,,,1.0,,
10414,False,7,Adaptec RAID Remote Services Agent - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1002287,False,12,SQL-The log file for database is full,,,False,,,itsm,,False,,,,1.0,,
11442,False,69,Vault Device VirtualBox Error,,,False,,,itsm,,False,,,,1.0,,
1002150,False,7,Hardware - HP Smart Array issue,,,False,,,itsm,,False,,,,1.0,,
50065,,,,,,False,,,itsm,,False,,,,2.0,,
1000993,False,7,MegaRAID Storage Manager - Hot spare SMART polling failed.,,,False,,,itsm,,False,,,,1.0,,
50121,,,,,,False,,,itsm,,False,,,,2.0,,
1003152,False,89,MS Lync - Server configuration validation mechanism detected some serious problems,,,False,,,itsm,,False,,,,1.0,,
10335,False,2,Symantec Quarantine Scanner - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1003478,True,7,Hardware - DELL Manage application is not installed on the server. (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1000222,False,7,ServeRAID 7e SATA controller hardware problems.,,,False,,,itsm,,False,,,,1.0,,
50084,,,,,,False,,,itsm,,False,,,,2.0,,
1000952,False,7,MegaRAID Storage Manager - Bad block table is 80% full.,,,False,,,itsm,,False,,,,1.0,,
11459,False,73,VMware Host Hardware Issue observed for Battery Sensor,,,False,,,itsm,,False,,,,1.0,,
16835,False,89,Lync Server Call Park- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
16805,False,89,Lync Server Front-End- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
16728,False,2,COMODO ESM Proxy Server- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1000320,False,7,Dmboot failed to import the disk,,,False,,,itsm,,False,,,,1.0,,
1002299,False,7,MegaRAID Storage Manager - Consistency check failed with uncorrectable data on VD,,,False,,,itsm,,False,,,,1.0,,
1001086,False,9,"Windows Server 2003 stops responding, when you perform backup operations on large disk volumes",,,False,,,itsm,,False,,,,1.0,,
1003496,True,7,Hardware - HP System Management application not installed. (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1001278,False,8,ISA SERVER detected a possible Internet Protocol (IP) half-scan attack.,,,False,,,itsm,,False,,,,1.0,,
50073,,,,,,False,,,itsm,,False,,,,2.0,,
10501,False,4,MetaFrame COM Server - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
1001023,False,5,Microsoft Exchange 2003 Cluster Server POP3 Server Crash,,,False,,,itsm,,False,,,,1.0,,
16851,False,89,Lync Server Response Group- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1000025,False,5,Exchange - Mail flow to internet has stopped due to dns issue.,,,False,,,itsm,,False,,,,1.0,,
1000114,False,1,Active Directory - ntds.dit database corruption detected.,,,False,,,itsm,,False,,,,1.0,,
1000069,False,5,Exchange database engine denied write access to its own database files - Mail Flow Down.,,,False,,,itsm,,False,,,,1.0,,
1000412,True,7,HighPoint RocketRAID 182x SATA Controller Device responded within the timeout Period (Closing condition).,,,False,,,itsm,,False,,,,1.0,,
10253,False,9,Liebert MultiLink - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
10266,False,5,Microsoft Exchange Management - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001205,False,5,MSExchange AD Process LDAP read and Search Time is too high,,,False,,,itsm,,False,,,,1.0,,
16936,False,4,Citrix Secure Gateway- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1000228,False,9,Basic monitoring for Page file utilization.,,,False,,,itsm,,False,,,,1.0,,
50219,,,,,,False,,,itsm,,False,,,,2.0,,
6015,False,91,SAAZDEPUSR account exists in disabled state,,,False,,,itsm,,False,,,,1.0,,
50120,,,,,,False,,,itsm,,False,,,,2.0,,
11722,False,9,Task Scheduler- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
50330,,,,,,False,,,itsm,,False,,,,2.0,,
50297,,,,,,False,,,itsm,,False,,,,2.0,,
16929,False,4,Citrix Licensing Support Service- Not In Running State,,,False,,,itsm,,False,,,,1.0,,
11491,False,69,Vault Agent Offsite transfer sync delay,,,False,,,itsm,,False,,,,1.0,,
50248,,,,,,False,,,itsm,,False,,,,2.0,,
1000338,False,7,Promise - FastTrak Family Controller Port Timeout,,,False,,,itsm,,False,,,,1.0,,
